claim,gold_label,company,year,original_text,page_number,promise_status,verification_timeline,evidence_status,evidence_quality,source_url
"Baytex Energy commits to managing and reducing environmental impacts, with a focus on specific initiatives such as reducing emissions and waste.",not_greenwashing,baytexenergy,2023,"OUR VALUES We have built into our culture a strong connection and sense of responsibility to our communities and stakeholders. Our core values of sustainability, connection, and empowerment guide our actions and decision-making. SUSTAINABILITY For us, sustainability means managing and reducing our environmental impacts, strengthening our corporate resilience, and remaining relevant into the future. CONNECTION We believe that fostering positive relationships and strong connections, inside and outside our company, are key to developing the innovative solutions needed to thrive as a company and as a society. EMPOWERMENT We recognize that individual decisions and actions determine our collective culture and, ultimately, the success of our company. In all areas of our business, we foster a culture of supportive leadership, empowerment, and shared accountability.",6,Yes,Already,No,,https://www.baytexenergy.com/content/uploads/2023/07/2022-Baytex-ESG-Report-FINAL.pdf
Baytex Energy complies with all legal requirements for environmental protection and actively participates in voluntary initiatives to further reduce its environmental footprint.,not_greenwashing,baytexenergy,2023,We focus on pragmatic and impactful opportunities to continuously improve our operating practices.,6,Yes,2 to 5 years,No,,https://www.baytexenergy.com/content/uploads/2023/07/2022-Baytex-ESG-Report-FINAL.pdf
"Baytex Energy states that it complies with all legal requirements for environmental protection, implying that this is a voluntary effort to reduce its environmental impact.",greenwashing,baytexenergy,2023,We focus on pragmatic and impactful opportunities to continuously improve our operating practices.,6,Yes,2 to 5 years,No,,https://www.baytexenergy.com/content/uploads/2023/07/2022-Baytex-ESG-Report-FINAL.pdf
"Baytex Energy focuses on reducing emissions as part of its broader environmental strategy, which includes managing water usage and waste effectively.",not_greenwashing,baytexenergy,2023,We focus on pragmatic and impactful opportunities to continuously improve our operating practices.,6,Yes,2 to 5 years,No,,https://www.baytexenergy.com/content/uploads/2023/07/2022-Baytex-ESG-Report-FINAL.pdf
"Baytex Energy claims to be environmentally sustainable based on its efforts to reduce emissions, without mentioning its significant water usage and waste management issues.",greenwashing,baytexenergy,2023,We focus on pragmatic and impactful opportunities to continuously improve our operating practices.,6,Yes,2 to 5 years,No,,https://www.baytexenergy.com/content/uploads/2023/07/2022-Baytex-ESG-Report-FINAL.pdf
"Baytex Energy commits to reducing greenhouse gas emissions by 20% by 2030, as part of its efforts to improve performance as a responsible energy producer.",not_greenwashing,baytexenergy,2023,We set meaningful targets to improve our performance as a responsible energy producer.,6,No,,No,,https://www.baytexenergy.com/content/uploads/2023/07/2022-Baytex-ESG-Report-FINAL.pdf
Baytex Energy invests in renewable energy projects to improve its performance as a responsible energy producer.,not_greenwashing,baytexenergy,2023,We set meaningful targets to improve our performance as a responsible energy producer.,6,No,,No,,https://www.baytexenergy.com/content/uploads/2023/07/2022-Baytex-ESG-Report-FINAL.pdf
Baytex Energy labels itself as a responsible energy producer based on its use of one sustainable technology in its operations.,greenwashing,baytexenergy,2023,We set meaningful targets to improve our performance as a responsible energy producer.,6,No,,No,,https://www.baytexenergy.com/content/uploads/2023/07/2022-Baytex-ESG-Report-FINAL.pdf
Baytex Energy claims to improve its performance as a responsible energy producer without providing any evidence or third-party verification.,greenwashing,baytexenergy,2023,We set meaningful targets to improve our performance as a responsible energy producer.,6,No,,No,,https://www.baytexenergy.com/content/uploads/2023/07/2022-Baytex-ESG-Report-FINAL.pdf
Baytex Energy complies with all legal requirements for environmental reporting.,greenwashing,baytexenergy,2023,We monitor our impacts and provide transparent disclosures to our stakeholders.,6,Yes,Already,No,,https://www.baytexenergy.com/content/uploads/2023/07/2022-Baytex-ESG-Report-FINAL.pdf
Baytex Energy complies with all legal requirements for environmental reporting and goes beyond compliance by implementing additional voluntary sustainability initiatives.,not_greenwashing,baytexenergy,2023,We monitor our impacts and provide transparent disclosures to our stakeholders.,6,Yes,Already,No,,https://www.baytexenergy.com/content/uploads/2023/07/2022-Baytex-ESG-Report-FINAL.pdf
Baytex Energy claims to have comprehensive sustainability initiatives without providing specific details or metrics.,greenwashing,baytexenergy,2023,We monitor our impacts and provide transparent disclosures to our stakeholders.,6,Yes,Already,No,,https://www.baytexenergy.com/content/uploads/2023/07/2022-Baytex-ESG-Report-FINAL.pdf
"Baytex Energy monitors its impacts and complies with legal requirements, and stakeholders can find detailed information about specific sustainability initiatives in the annual report.",not_greenwashing,baytexenergy,2023,We monitor our impacts and provide transparent disclosures to our stakeholders.,6,Yes,Already,No,,https://www.baytexenergy.com/content/uploads/2023/07/2022-Baytex-ESG-Report-FINAL.pdf
Baytex Energy claims to have sustainable practices without providing any third-party verification or evidence.,greenwashing,baytexenergy,2023,We monitor our impacts and provide transparent disclosures to our stakeholders.,6,Yes,Already,No,,https://www.baytexenergy.com/content/uploads/2023/07/2022-Baytex-ESG-Report-FINAL.pdf
